Abbreviation,Year,RoundNumber,AvgFinishLast3,AvgFinishLast5,DNFRateLast5,AvgLapTime,AvgLapTimeLast3,AvgLapTimeLast5,AvgPitTime,AvgPitTimeLast3,AvgPitTimeLast5,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag,Position
LEC,2023,11,5.0,6.4,0.0,84.299,79.875,80.655,24.937,24.401,24.116,8.333,6.4,0.0,23.97,24.98,24.62,Hungarian,6.0,0.383,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,7.0
SAI,2023,11,7.0,6.8,0.0,84.403,79.914,80.617,22.03,25.592,25.15,8.667,6.8,0.0,23.97,24.98,24.62,Hungarian,11.0,1.094,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,8.0
ALO,2023,11,4.667,4.6,0.0,84.43,79.951,80.481,23.492,24.336,49.278,10.0,8.8,0.0,22.84,24.44,36.75,Hungarian,8.0,0.426,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,9.0
STR,2023,11,10.667,11.6,0.2,84.745,80.345,80.163,22.179,24.494,24.193,10.0,8.8,0.0,22.84,24.44,36.75,Hungarian,14.0,1.535,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,10.0
ALB,2023,11,8.667,11.2,0.0,84.981,80.557,81.387,21.734,25.605,25.154,10.667,12.6,0.2,22.65,25.11,24.89,Hungarian,16.0,2.308,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,11.0
BOT,2023,11,12.333,13.4,0.0,84.968,80.793,81.595,22.75,25.774,26.319,14.0,14.0,0.0,24.38,26.05,25.79,Hungarian,7.0,0.425,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,12.0
HUL,2023,11,16.0,16.0,0.2,85.335,81.009,81.507,22.406,24.619,25.644,17.333,17.4,0.4,22.43,25.76,27.3,Hungarian,10.0,0.577,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,14.0
TSU,2023,11,16.333,15.2,0.0,85.246,80.727,81.513,23.656,25.856,26.653,15.333,16.4,0.0,22.87,25.11,25.28,Hungarian,17.0,2.31,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,15.0
ZHO,2023,11,14.333,13.0,0.0,85.296,80.865,81.513,26.007,25.946,25.344,13.0,13.2,0.0,24.38,26.05,25.79,Hungarian,5.0,0.362,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,16.0
MAG,2023,11,18.0,18.2,0.4,85.746,81.352,81.99,22.445,24.189,29.245,15.333,16.8,0.4,22.43,25.76,27.3,Hungarian,19.0,2.597,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,17.0
SAR,2023,11,14.667,16.4,0.2,85.274,81.253,82.119,23.101,23.882,29.268,10.0,10.8,0.0,22.65,25.11,24.89,Hungarian,20.0,2.639,16,4066.56,70.0,48.58,28.81,0.0,False,False,False,18.0
